School Name,School Number,Closed,School Street,School City,School State,School Zip,School Email,School Website,School Phone,School Fax,Principal Name,Principal Name (last),Principal Prefix,Principal Title,Grade Low,Grade High,Enrollment,School Accreditations,Diocese Name,Diocese Code,Diocese Street,Diocese City,Diocese State,Diocese Zip,Diocese Email,Diocese Website,Diocese Phone,Diocese Fax,Diocese Contact Name,Diocese Contact Name (last),Diocese Contact Prefix,Diocese Contact Title,District Name,District Number,District Type,District Enrollment,District Street,District City,District State,District Zip,District Email,District Website,District Phone,District Fax,District Contact Name,District Contact Name (last),District Contact Prefix,District Contact Title,County Name,County Number,Region Name
Orion High School (Digital Learning School),165181001,FALSE,4500 West Ilinois Suite 203,Midland,TX,79703,jgallegos@orionhs.org,www.orionhs.org,(877) 647-1337,(877) 647-1337,Joseph Gallegos,,,,6,12,150,COGNIA : 2009 | ACTS : 2017,,,,,,,,,,,,,,,MIDLAND ISD,165901,INDEPENDENT,23319,615 W MISSOURI AVE,MIDLAND,TX,79701-5017,ryder.warren@midlandisd.net,www.midlandisd.net,(432) 689-1000,(432) 689-1976,DR RYDER WARREN   ,,,Superintendent,Midland,165,18
Our Lady of Assumption School,71100106,TRUE,4805 Bryon Street,El Paso,TX,79930,ecarreon@olacatholicschool.org,,(915) 565-3411,(915) 564-5724,Mrs. Elizabeth Carreon,,,,Pre-K,8,131,TCCB ED : 1966,Diocese of El Paso,EP,4805 Bryon Street,El Paso,TX,79930,ecarreon@olacatholicschool.org,,(915) 565-3411,(915) 564-5724,Mrs. Elizabeth Carreon,,,,EL PASO ISD,71902,INDEPENDENT,63210,P O BOX 20100,EL PASO,TX,79998-0100,info@episd.org,www.episd.org,(915) 779-3781,(915) 779-3781,VERNON L BUTLER   ,,,Superintendent,El Paso,71,19
Our Lady of Fatima Catholic School - Texas City,101100114,FALSE,1600 Ninth Street N,Texas City,TX,77590,jlopez@fatimatc.org,www.fatimatc.org,(409) 945-3326,(409) 945-3389,Jennifer Lopez,,,,Pre-K,6,123,TCCB ED : 1958,Archdiocese of Galveston-Houston,GH,1600 Ninth Street N,Texas City,TX,77590,jlopez@fatimatc.org,www.fatimatc.org,(409) 945-3326,(409) 945-3389,Jennifer Lopez,,,,TEXAS CITY ISD,84906,INDEPENDENT,5944,P O BOX 1150,TEXAS CITY,TX,77592-1150,clusignolo@tcisd.org,www.tcisd.org,(409) 916-0100,(409) 942-2655,DR CYNTHIA LUSIGNOLO   ,,,Superintendent,Galveston,84,4
Our Lady of Fatima School - Galena Park,101100113,FALSE,1702 9TH ST,Galena Park,TX,77547,msanchez@olfatima-gp.org,www.olfatime-gp.org,(713) 674-5832,(713) 674-3877,Miguel Sanchez,,,,Pre-K,8,102,TCCB ED : 1968,Archdiocese of Galveston-Houston,GH,1702 9TH ST,Galena Park,TX,77547,msanchez@olfatima-gp.org,www.olfatime-gp.org,(713) 674-5832,(713) 674-3877,Miguel Sanchez,,,,GALENA PARK ISD,101910,INDEPENDENT,22113,P O BOX 565,GALENA PARK,TX,77547,lalor@galenaparkisd.com,www.galenaparkisd.com,(832) 386-1000,(832) 386-1298,DR ANGI WILLIAMS   ,,,Superintendent,Harris,101,4
Our Lady of Grace Catholic School,15100016,FALSE,626 Market Street,Pleasanton,TX,78064,jgeyer@olgapleasanton.org,olgcstx.org,(830) 569-8073,(830) 569-8065,Jeanette Geyer,,,,Pre-K,5,60,TCCB ED : 2016,Archdiocese of San Antonio,ST,626 Market Street,Pleasanton,TX,78064,jgeyer@olgapleasanton.org,olgcstx.org,(830) 569-8073,(830) 569-8065,Jeanette Geyer,,,,PLEASANTON ISD,7905,INDEPENDENT,3493,831 STADIUM DR,PLEASANTON,TX,78064-2499,cclinesmith@pisd.us,www.pisd.us,(830) 569-1200 ext. 1241,(830) 569-1249,DR CYNTHIA CLINESMITH   ,,,Superintendent,Atascosa,7,20
Our Lady of Grace High School,220100120,TRUE,13517 Alta Vista Dr,Roanoke,TX,76262,olghsdonohue@gmail.com,www.olghs.org,(817) 933-6516,(817) 491-4399,Denise Donohue,,,,9,12,0,TCCB ED : 2006,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Tarrant,220,
Our Lady of Guadalupe Catholic School - Mission,31100113,TRUE,611 Dunlap,Mission,TX,78572,gonzalez@cdobcs.org,www.cdob.org,(956) 586-6445,(956) 584-3055,Sr. Cynthia A. Mello SSD,,,,Pre-K,8,100,TCCB ED : 2004 | COGNIA : 2013,Diocese of Brownsville,BR,611 Dunlap,Mission,TX,78572,gonzalez@cdobcs.org,www.cdob.org,(956) 586-6445,(956) 584-3055,Sr. Cynthia A. Mello SSD,,,,MISSION CISD,108908,INDEPENDENT,15534,1201 BRYCE DR,MISSION,TX,78572-4399,missioncisd@mcisd.org,www.mcisd.net,(956) 323-5500,(956) 323-5634,MARIO SOLIS   ,,,Superintendent,Hidalgo,108,1
Our Lady of Guadalupe School Amarillo,188100102,TRUE,1108 South Houston Street,Amarillo,TX,79102,olgschool@suddenlinkmail.com,,(806) 372-2629,(806) 372-2225,Marissa Cochran,,,,Pre-K,5,0,TCCB ED : 1968,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Potter,188,
Our Lady of Guadalupe School Houston,101100115,FALSE,2405 Navigation Blvd,Houston,TX,77003,iortiz@olgschoolhouston.org,www.olgschoolhouston.org,(713) 224-6904,(713) 225-2122,Irazema Ortiz,,,,Pre-K,8,227,TCCB ED : 1968,Archdiocese of Galveston-Houston,GH,2405 Navigation Blvd,Houston,TX,77003,iortiz@olgschoolhouston.org,www.olgschoolhouston.org,(713) 224-6904,(713) 225-2122,Irazema Ortiz,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Our Lady of Guadalupe School Laredo,240121102,TRUE,400 Callaghan St,Laredo,TX,78040,hrindmartinez@yahoo.com,,(956) 722-3915,(956) 727-2840,Ms. Herlinda Martinez,,,,Pre-K,7,153,TCCB ED : 1986,Diocese of Laredo,LA,400 Callaghan St,Laredo,TX,78040,hrindmartinez@yahoo.com,,(956) 722-3915,(956) 727-2840,Ms. Herlinda Martinez,,,,LAREDO ISD,240901,INDEPENDENT,24823,1702 HOUSTON ST,LAREDO,TX,78040,agomez@laredoisd.org,www.laredoisd.org,(956) 273-1000,(956) 795-3405,DR AL MARCUS NELSON   ,,,Superintendent,Webb,240,1
Our Lady of Lourdes School,101100117,FALSE,10114 HWY 6,Hitchcock,TX,77563,erobert@ololchurch.org,www.hometown.aol.com,(409) 925-3224,(409) 925-9900,Dr. Emiilie Robert,,,,Pre-K,6,68,TCCB ED : 1968,Archdiocese of Galveston-Houston,GH,10114 HWY 6,Hitchcock,TX,77563,erobert@ololchurch.org,www.hometown.aol.com,(409) 925-3224,(409) 925-9900,Dr. Emiilie Robert,,,,HITCHCOCK ISD,84908,INDEPENDENT,1406,8117 HWY 6,HITCHCOCK,TX,77563-1796,bderrick@hitchcockisd.org,www.hitchcockisd.org,(409) 316-6545 ext. 1501,(409) 986-5141,DR BARBARA DERRICK   ,,,Superintendent,Galveston,84,4
Our Lady of Mount Carmel School,101100118,TRUE,6703 Whitefriars Dr,Houston,TX,77087,mmendoza@olmchou.org,www.olmchou.org,(713) 643-0676,(713) 649-1835,Maribel Mendoza,,,,Pre-K,8,189,TCCB ED : 1968,Archdiocese of Galveston-Houston,GH,6703 Whitefriars Dr,Houston,TX,77087,mmendoza@olmchou.org,www.olmchou.org,(713) 643-0676,(713) 649-1835,Maribel Mendoza,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Our Lady of Perpetual Help Academy,178100108,FALSE,5814 Williams Drive,Corpus Christi,TX,78412,osalazar@olphacademycc.org,www.olphacademycc.org,(361) 991-3305,(361) 994-1806,Orlando Salazar,,,,Pre-K,8,206,TCCB ED : 1965,Diocese of Corpus Christi,CC,5814 Williams Drive,Corpus Christi,TX,78412,osalazar@olphacademycc.org,www.olphacademycc.org,(361) 991-3305,(361) 994-1806,Orlando Salazar,,,,CORPUS CHRISTI ISD,178904,INDEPENDENT,39213,P O BOX 110,CORPUS CHRISTI,TX,78403-0110,scott.elliff@ccisd.us,www.ccisd.us,(361) 886-9002,(361) 886-9109,MR D SCOTT ELLIFF   ,,,Superintendent,Nueces,178,2
Our Lady of Perpetual Help Catholic School,15100117,FALSE,16075 North Evans Rd.,Selma,TX,78154,millera@olphselma.org,www.olphselma.org,(210) 651-6811,(210) 651-5516,Amanda Miller,,,,Pre-K,8,425,TCCB ED : 1969,Archdiocese of San Antonio,ST,16075 North Evans Rd.,Selma,TX,78154,millera@olphselma.org,www.olphselma.org,(210) 651-6811,(210) 651-5516,Amanda Miller,,,,JUDSON ISD,15916,INDEPENDENT,22606,8012 SHIN OAK,LIVE OAK,TX,78233-2457,jwaclawczyk@judsonisd.org,www.judsonisd.org,(210) 945-5100,(210) 945-6900,DR WILLIS MACKEY   ,,,Superintendent,Guadalupe,94,20
Our Lady of Perpetual Help Dallas,57100111,FALSE,7625 Cortland Ave,Dallas,TX,75235,Mcsearle@olphdallas.org,www.olphdallas.org,(214) 351-3396,(214) 351-9889,Maria Claudia Searle,,,,Pre-K,8,153,TCCB ED : 1965,Diocese of Dallas,DA,7625 Cortland Ave,Dallas,TX,75235,Mcsearle@olphdallas.org,www.olphdallas.org,(214) 351-3396,(214) 351-9889,Maria Claudia Searle,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Our Lady of Refuge School,240121106,FALSE,577 Washington St,Eagle Pass,TX,78852,ana.bermea@olorschoolep.org,www.olorschool.org,(830) 773-3531,(830) 773-7310,Ana Barmea,,,,Pre-K,8,319,TCCB ED : 1969,Diocese of Laredo,LA,577 Washington St,Eagle Pass,TX,78852,ana.bermea@olorschoolep.org,www.olorschool.org,(830) 773-3531,(830) 773-7310,Ana Barmea,,,,EAGLE PASS ISD,159901,INDEPENDENT,15094,1420 EIDSON RD,EAGLE PASS,TX,78852-5604,ssnyder@eaglepassisd.net,www.eaglepassisd.net,(830) 773-5181,(830) 773-7252,MR GILBERTO GONZALEZ   ,,,Superintendent,Maverick,159,20
Our Lady of Sorrows School,31100105,FALSE,1100 Gumwood St,McAllen,TX,78501,imartinez@cdobcs.org,www.olssnet.org,(956) 686-3651,(956) 686-1996,Isreal Martinez,,,,Pre-K,8,519,TCCB ED : 1969,Diocese of Brownsville,BR,1100 Gumwood St,McAllen,TX,78501,imartinez@cdobcs.org,www.olssnet.org,(956) 686-3651,(956) 686-1996,Isreal Martinez,,,,MCALLEN ISD,108906,INDEPENDENT,24931,2000 N 23RD ST,MCALLEN,TX,78501-2000,james.ponce@mcallenisd.net,www.mcallenisd.org,(956) 618-6000,(956) 686-8362,DR JAMES PONCE   ,,,Superintendent,Hidalgo,108,1
Our Lady of the Gulf Catholic School,235100113,FALSE,301 South San Antonio St.,Port Lavaca,TX,77979,msdent@olgmariners.org,www.olgmariners.org,(361) 552-6140,(361) 552-7485,Theresa Dent,,,,Pre-K,8,123,TCCB ED : 2014,Diocese of Victoria,VI,301 South San Antonio St.,Port Lavaca,TX,77979,msdent@olgmariners.org,www.olgmariners.org,(361) 552-6140,(361) 552-7485,Theresa Dent,,,,CALHOUN COUNTY ISD,29901,INDEPENDENT,4256,525 N COMMERCE ST,PORT LAVACA,TX,77979-3034,micklep@calcoisd.org,www.calcoisd.org,(361) 552-9728,(361) 551-2648,MR BILLY WIGGINS   ,,,Superintendent,Calhoun,29,3
Our Lady of the Hills Regional Catholic High School,15100170,FALSE,235 Peterson Farm Rd.,Kerrville,TX,78028,bridget.collins@ourladyofthehills.org,www.ourladyofthehills.org,(830) 895-0501,(830) 895-3470,Bridget Collins,,,,9,12,108,TCCB ED : 2002 | COGNIA : 2009,Archdiocese of San Antonio,ST,235 Peterson Farm Rd.,Kerrville,TX,78028,bridget.collins@ourladyofthehills.org,www.ourladyofthehills.org,(830) 895-0501,(830) 895-3470,Bridget Collins,,,,KERRVILLE ISD,133903,INDEPENDENT,4926,1009 BARNETT ST,KERRVILLE,TX,78028-4614,dan.troxell@kerrvilleisd.net,www.kerrvilleisd.net,(830) 257-2200,(830) 257-2249,DR DAN J TROXELL   ,,,Superintendent,Bexar,15,20
Our Lady of the Rosary Catholic School,178100130,TRUE,2237 Waldron Road,Corpus Christi,Tx,78418,scxoop2013@gmail.com,www.olrcs.org,(361) 939-9847,(361) 937-0890,"Sr. Claudia Ongpin, OP",,,,Pre-K,2,40,TCCB ED : 2014,Diocese of Corpus Christi,CC,2237 Waldron Road,Corpus Christi,Tx,78418,scxoop2013@gmail.com,www.olrcs.org,(361) 939-9847,(361) 937-0890,"Sr. Claudia Ongpin, OP",,,,FLOUR BLUFF ISD,178914,INDEPENDENT,5607,2505 WALDRON RD,CORPUS CHRISTI,TX,78418-4798,mjacinto@flourbluffschools.net,www.flourbluffschools.net,(361) 694-9205,(361) 694-9809,MR JOE KELLEY   ,,,Superintendent,Nueces,178,2
Our Lady of the Valley,71100108,TRUE,8600 Winchester Ave,El Paso,TX,79907,ana.oneill@olvschool.org,www.olvschool.net,(915) 859-6448,(915) 859-3908,Mrs. Ana O'Neill,,,,Pre-K,8,219,TCCB ED : 1966 | COGNIA : 2013,Diocese of El Paso,EP,8600 Winchester Ave,El Paso,TX,79907,ana.oneill@olvschool.org,www.olvschool.net,(915) 859-6448,(915) 859-3908,Mrs. Ana O'Neill,,,,YSLETA ISD,71905,INDEPENDENT,43680,9600 SIMS DR,EL PASO,TX,79925-7225,mthornton1@yisd.net,www.yisd.net,(915) 434-0000,(915) 591-4144,DR MICHAEL E ZOLKOSKI   ,,,Superintendent,El Paso,71,19
Our Lady of Victory Catholic School,235100102,FALSE,1311 E. Mesquite,Victoria,TX,77901,jmatias@ourladyvictory.org,www.ourladyvictory.org,(361) 575-5391,(361) 575-3473,Justin Matias,,,,Pre-K,8,485,TCCB ED : 1965 | COGNIA : 2013,Diocese of Victoria,VI,1311 E. Mesquite,Victoria,TX,77901,jmatias@ourladyvictory.org,www.ourladyvictory.org,(361) 575-5391,(361) 575-3473,Justin Matias,,,,VICTORIA ISD,235902,INDEPENDENT,14513,P O BOX 1759,VICTORIA,TX,77902-1759,robert.jaklich@visd.net,www.visd.net,(361) 576-3131,(361) 788-9643,DR ROBERT A JAKLICH   ,,,Superintendent,Victoria,235,3
Our Lady of Victory School,220100105,TRUE,3320 Hemphill St,Fort Worth,TX,76110,principalpetrey@olvfw.com,www.olvfw.com,(817) 924-5123,(817) 923-9621,Linda Petrey,,,,Pre-K,8,87,TCCB ED : 1965,Diocese of Fort Worth,FW,3320 Hemphill St,Fort Worth,TX,76110,principalpetrey@olvfw.com,www.olvfw.com,(817) 924-5123,(817) 923-9621,Linda Petrey,,,,FORT WORTH ISD,220905,INDEPENDENT,83503,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,web@FWISD.ORG,www.fwisd.org,(817) 815-2000,(817) 815-2112,MR WALTER DANSBY   ,,,Superintendent,Tarrant,220,11
Our Lady Queen Of Peace Catholic School,101100158,FALSE,1600 HWY 2004,Richwood,TX,77531,nthomas@olqpschool.org,www.olqpschool.org,(979) 265-3909,(979) 265-9780,Nirmala Thomas,,,,Pre-K,8,211,TCCB ED : 1986 | COGNIA : 2013,Archdiocese of Galveston-Houston,GH,1600 HWY 2004,Richwood,TX,77531,nthomas@olqpschool.org,www.olqpschool.org,(979) 265-3909,(979) 265-9780,Nirmala Thomas,,,,BRAZOSPORT ISD,20905,INDEPENDENT,12542,P O DRAWER Z,FREEPORT,TX,77541-1926,pwyatt@brazosportisd.net,www.brazosportisd.net,(979) 730-7000,(979) 266-2409,DR KARIN V HOLACKA   ,,,Superintendent,Brazoria,20,4
Our Mother of Mercy Catholic School Houston,101100119,TRUE,2010 Benson St,Houston,TX,77020,mbreaux@omomschool.org,www.omomschool.org,(713) 673-1862,(713) 673-1041,Not Available,,,,Pre-K,8,0,TCCB ED : 1968,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Our Mother of Mercy School Beaumont,123100102,TRUE,3360 Sarah St,Beaumont,TX,77705,principal@omomcs.org,www.omomcs.org,(409) 842-5534,(409) 842-4001,Dorothy Wheaton,,,,Pre-K,5,0,TCCB ED : 1968,,,,,,,,,,,,,,,BEAUMONT ISD,123910,INDEPENDENT,19850,3395 HARRISON AVE,BEAUMONT,TX,77706-5009,tchargo@beaumont.k12.tx.us,www.bmtisd.com/,(409) 617-5000,(409) 617-5184,DR TIMOTHY B CHARGOIS   ,,,Superintendent,Jefferson,123,5
Our Mother of Mercy School Fort Worth,220100106,TRUE,1007 East Terrell Avenue,Fort Worth,TX,76104,principalomm@omomftworth.org,www.ommftworth.org,(817) 923-0058,(817) 923-3368,Ms. Erin Vader,,,,Pre-K,8,92,TCCB ED : 1968,Diocese of Fort Worth,FW,1007 East Terrell Avenue,Fort Worth,TX,76104,principalomm@omomftworth.org,www.ommftworth.org,(817) 923-0058,(817) 923-3368,Ms. Erin Vader,,,,FORT WORTH ISD,220905,INDEPENDENT,83503,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,web@FWISD.ORG,www.fwisd.org,(817) 815-2000,(817) 815-2112,MR WALTER DANSBY   ,,,Superintendent,Tarrant,220,11
Our Redeemer Lutheran School Dallas,57156101,FALSE,7611 Park Lane,Dallas,TX,75225,cmoss@orlcs.com,www.orlcs.com,(214) 368-1371,(214) 368-1473,Corey Moss,,,,Pre-K,8,0,LSAC : 2004 | LSAC : 2022,,,,,,,,,,,,,,,DALLAS ISD,57905,INDEPENDENT,158932,3700 ROSS AVE,DALLAS,TX,75204-5491,arodriguez@dallasisd.org,www.dallasisd.org,(972) 925-3700, ,MIKE MILES   ,,,Superintendent,Dallas,57,10
Our Savior Lutheran School Austin,227154101,TRUE,1513 Yager Lane,Austin,TX,78753,eric.borchers@oslaustin.org,www.oslaustin.org,(512) 836-9600,(512) 836-4660,Rev. Eric Borchers,,,,Early Education,5,0,LSAC : 1992,,,,,,,,,,,,,,,PFLUGERVILLE ISD,227904,INDEPENDENT,23347,1401 W PECAN ST,PFLUGERVILLE,TX,78660-2518,superintendent@pfisd.net,www.pflugervilleisd.net,(512) 594-0000,(512) 594-0005,MR FREDDIE MCFARLAND   ,,,Superintendent,Travis,227,13
Our Savior Lutheran School Houston,101153101,FALSE,5000 W Tidwell Rd,Houston,TX,77091,kthoelke@oslschool.org,www.oslschool.org,(713) 290-8277,(713) 290-0850,Kate Thoelke,,,,Pre-K,8,0,LSAC : 1974 | LSAC : 2020,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Ovilla Christian School,70101001,FALSE,3251 Ovilla Rd,Red Oak,TX,75154,phayes@ovillachristianschool.org,www.ovillachristianschool.org,(972) 617-1177,(469) 218-0135,Penny Hayes,,,,Kindergarten,12,278,ACSI : 1998 | COGNIA : 2016,,,,,,,,,,,,,,,RED OAK ISD,70911,INDEPENDENT,5634,P O BOX 9000,RED OAK,TX,75154-9000,cindy.kirkpatrick@redoakisd.org,www.redoakisd.org,(972) 617-2941,(972) 617-4333,MR SCOTT NIVEN   ,,,Superintendent,Ellis,70,10
Ovilla Christian School,70230001,TRUE,3251 Ovilla Road,Ovilla,TX,75154,rclyde@ovillachristianschool.org,www.ovillachristianschool.org,(972) 617-1177,,Mr. Ron Clyde,,,,Pre-K,12,312,COGNIA : 2016,,,,,,,,,,,,,,,RED OAK ISD,70911,INDEPENDENT,5634,P O BOX 9000,RED OAK,TX,75154-9000,cindy.kirkpatrick@redoakisd.org,www.redoakisd.org,(972) 617-2941,(972) 617-4333,MR SCOTT NIVEN   ,,,Superintendent,Ellis,70,10
Palm Tree Academy,71200001,FALSE,143 Paragon Lane,El Paso,TX,79912,,,(915) 504-0779,,Nichole Orozo-Khamsi,,,,Pre-K,5,41,COGNIA : 2014,,,,,,,,,,,,,,,EL PASO ISD,71902,INDEPENDENT,63210,P O BOX 20100,EL PASO,TX,79998-0100,info@episd.org,www.episd.org,(915) 779-3781,(915) 779-3781,VERNON L BUTLER   ,,,Superintendent,El Paso,71,19
Pantego Christian Academy Arlington,220187001,FALSE,2201 W Park Row,Arlington,TX,76013,kferrell@pantego.com,www.pantego.com,(817) 460-3315,(817) 277-6749,Katherine Ferrell,,,,Pre-K,12,394,ACSI : 1988 | COGNIA : 2010,,,,,,,,,,,,,,,ARLINGTON ISD,220901,INDEPENDENT,65001,1203 W PIONEER PKWY,ARLINGTON,TX,76013-6246,mcavazos@aisd.net,www.aisd.net,(682) 867-4611,(817) 459-7299,DR MARCELO CAVAZOS   ,,,Superintendent,Tarrant,220,11
Pantego Christian Academy Mansfield,220187002,FALSE,2351 Country Club Drive,Mansfield,TX,76063,jautrey@pantego.com,www.pantego.com,(817) 460-3315,(817) 459-4687,Katherine Ferrell,,,,Pre-K,5,101,ACSI : 1988 | COGNIA : 2010,,,,,,,,,,,,,,,MANSFIELD ISD,220908,INDEPENDENT,32879,605 E BROAD ST,MANSFIELD,TX,76063-1794,info@misdmail.org,www.mansfieldisd.org,(817) 299-6300,(817) 473-5370,DR JIM VASZAUSKAS   ,,,Superintendent,Tarrant,220,11
Paragon Preparatory School,227131001,FALSE,2001 W. Koenig Lane,Austin,Texas,78756,dave@paragonprep.com,www.paragonprep.com,(512) 459-5040,(512) 459-1875,Mr. David McGrath,,,,1,8,213,TAAPS : 2005,,,,,,,,,,,,,,,AUSTIN ISD,227901,INDEPENDENT,86516,1111 W 6TH ST,AUSTIN,TX,78703-5399,superintendent@austinisd.org,www.austinisd.org,(512) 414-1700,(512) 414-1486,DR MERIA J CARSTARPHEN   ,,,Superintendent,Travis,227,13
Paratus Classical Academy,101310001,FALSE,1610 Campbell Rd,Houston,TX,77055,,,281540060,,Pamela Dollins Principal,,,,Pre-K,9,0,COGNIA : 2016,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Parish Episcopal School,57192101,FALSE,4101 Sigma Rd,Dallas,TX,75244,dmonaco@parishepiscopal.org,www.parishepiscopal.org,(972) 239-8011,(972) 991-1237,David W. Monaco,,,,Pre-K,12,"1,132",ISAS : 1989 | SAES : 1989 | ISAS : 1999 | ISAS : 2009 | SAES : 2009 | ISAS : 2019,,,,,,,,,,,,,,,CARROLLTON-FARMERS BRANCH ISD,57903,INDEPENDENT,26385,P O BOX 115186,CARROLLTON,TX,75011-5186,cfbinfo@cfbisd.edu,www.cfbisd.edu/,(972) 968-6100,(972) 968-6210,DR BOBBY BURNS   ,,,Superintendent,Dallas,57,10
Park Row Christian Academy,220160001,FALSE,915 West Park Row Drive,Arlington,Texas,76013,pgibson@parkrowchristian.net,www.parkrowchristian.net,(817) 277-1021,(817) 277-1365,Paula Gibson,,,,Kindergarten,8,144,NCSA : 2007 | COGNIA : 2007,,,,,,,,,,,,,,,ARLINGTON ISD,220901,INDEPENDENT,65001,1203 W PIONEER PKWY,ARLINGTON,TX,76013-6246,mcavazos@aisd.net,www.aisd.net,(682) 867-4611,(817) 459-7299,DR MARCELO CAVAZOS   ,,,Superintendent,Tarrant,220,11
Parkview Christian Academy,161111001,TRUE,1100 East Lakeshore Drive,Waco,TX,76708,dalo82@yahoo.com,,(254) 753-0159,(254) 753-0271,Virginia Collier,,,,Pre-K,12,0,ACTABS : 2010,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,McLennnan,161,
PCAplus Virtual Academy (Digital Learning School),43127001,FALSE,6801 W PARK BLVD,PLANO,TX,75093,tlozano@prestonwoodchristian.org,,(972) 930-4044,,Tifini Lozano,,,,Kindergarten,12,0,COGNIA : 2014,,,,,,,,,,,,,,,PLANO ISD,43910,INDEPENDENT,55185,2700 W 15TH,PLANO,TX,75075-7524,richard.matkin@pisd.edu,www.pisd.edu/,(469) 752-8100,(469) 752-8068,MR RICHARD MATKIN   ,,,Superintendent,Collin,43,10
Pediatric Education and Creative Arts Program,101229001,FALSE,1515 Holcombe Blvd Unit 87,Houston,TX,77030,DLSmith4@mdanderson.org,www.mdanderson.org,(713) 792-7681,(713) 563-0389,Daniel Smith,,,,Pre-K,12,0,COGNIA : 2011,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Pilgrim Lutheran School Houston,101155101,TRUE,8601 Chimney Rock Rd,Houston,TX,77096,dmolo@plshouston.org,www.pilgrimlutheraschool.org,(713) 666-3706,(713) 666-6585,Dometria Molo,,,,Pre-K,Pre-K,0,LSAC : 1989 | LSAC : 2021,,,,,,,,,,,,,,,HOUSTON ISD,101912,INDEPENDENT,203354,4400 W 18TH ST,HOUSTON,TX,77092-8501,infocenter@houstonisd.org,www.houstonisd.org,(713) 556-6000,(713) 556-6006,DR TERRY B GRIER   ,,,Superintendent,Harris,101,4
Pine Drive Christian School,84121001,TRUE,705 FM 517 Rd East,Dickinson,TX,77539,mstlduck@earthlink.net,www.pinedrive.org,(281) 534-4881,(281) 534-4318,Dr. Traci Duck,,,,7,12,0,ACSI : 2004,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Galveston,84,
Pines Montessori School,101107001,FALSE,3535 Cedar Knolls Dr,Kingwood,TX,77339,psobelman@pinesmontessori.com,www.pinesmontessori.com,(281) 358-8933,(281) 358-3162,Patty Sobelman,,,,Early Education,8,0,COGNIA : 2011,,,,,,,,,,,,,,,HUMBLE ISD,101913,INDEPENDENT,37095,P O BOX 2000,HUMBLE,TX,77347-2000,guy.sconzo@humble.k12.tx.us,www.humble.k12.tx.us/,(281) 641-1000,(281) 641-1058,DR GUY M SCONZO   ,,,Superintendent,Harris,101,4
Pineywoods Adventist Christian School,174121001,TRUE,4629 FM 1638 ,Nacogdoches,TX,75964,pineywoods@txsda.org,www.pacsintexas.org,(936) 552-7227,(936) 552-7227,Jeanie Valdenegro,,,,Pre-K,8,0,TSDA : 2011,,,,,,,,,,,,,,,NACOGDOCHES ISD,174904,INDEPENDENT,6478,DRAWER 631521,NACOGDOCHES,TX,75963-1521,handerson@nacisd.org,www.nacisd.org,(936) 569-5000 ext. 8826,(936) 569-5797,DR FRED HAYES   ,,,Superintendent,Nacagdoches,174,7
